Community,Species,Status,CUE,C_final
1,Sp1,Survival,0.5998668150641601,2.769212211218056
1,Sp2,Survival,0.5998507124898698,1.8861700330298967
1,Sp3,Survival,0.5999698559589097,0.9169657623112901
1,Sp4,Survival,0.6000187956398904,0.07477650869572985
1,Sp5,Survival,0.6001358802972908,1.6056641807758245
1,Sp6,Survival,0.6000615897091981,0.08635098308945398
1,Sp7,Survival,0.6000347624550756,1.585786572826731
1,Sp8,Survival,0.6001067596667637,3.951834416339273
1,Sp9,Survival,0.6000534559552149,0.31281734631204716
1,Sp10,Survival,0.5999455662511086,0.24804304414051526
1,Sp11,Survival,0.5999062044884645,0.3752006941958216
1,Sp12,Survival,0.5999164473742413,3.0264332835458116
1,Sp13,Survival,0.5999729177432617,3.5906302422525784
1,Sp14,Survival,0.5999606752909145,0.08705116750137076
1,Sp15,Survival,0.6001113199221526,1.8718675775155156
1,Sp16,Survival,0.6000051014036938,2.2269230891572813
1,Sp17,Survival,0.6000954563884947,2.1605727459463875
1,Sp18,Survival,0.6000009257190938,1.4009725494539276
1,Sp19,Survival,0.600050361563344,0.35099741286832753
1,Sp20,Survival,0.5997631464606591,2.276780706986618
1,Sp21,Survival,0.5998540890050954,0.5065159803143348
1,Sp22,Survival,0.5998949292172238,1.4046829087020374
1,Sp23,Survival,0.6000131960144948,2.5838846317663093
1,Sp24,Survival,0.5996373608830787,0.5986592829039759
1,Sp25,Survival,0.5999666316795436,0.026997260623852284
1,Sp26,Survival,0.5999852481532346,0.1921067569766245
1,Sp27,Survival,0.5999162295862459,0.3982356610577446
1,Sp28,Survival,0.6000219428036104,1.3431388029355689
1,Sp29,Survival,0.6000369681314308,0.6220890321223166
1,Sp30,Survival,0.6001043980134331,0.7632305712296125
1,Sp31,Survival,0.6001458788495857,1.1662748142024975
1,Sp32,Survival,0.5999666286747471,1.5042143151868146
1,Sp33,Survival,0.5999264996662479,0.4863751137439238
1,Sp34,Survival,0.5999516672653358,2.543077311752918
1,Sp35,Survival,0.5998880440737626,0.7254525166133879
1,Sp36,Survival,0.6000617183285915,0.10902083768479655
1,Sp37,Survival,0.5998559015441258,2.2367548331823115
1,Sp38,Survival,0.6002061558659023,2.0822028353160964
