Community,Status,CUE,Abundance
1,Survival,0.48304700050349847,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Survival,0.24868000424662307,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-2.1746164739160956,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-0.5364956214234564,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-1.8278953774047286,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-1.024933663816842,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-0.475703841521499,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-0.4451196994349269,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-1.1676616355576217,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
1,Extinction,-0.21318471185875942,"[5.11124163e-34 1.43119140e-19 3.77840415e-33 2.07689924e-25
 6.62378565e-20 3.65845352e-21 1.96800154e-30 4.78245621e+00
 6.26883967e-13 6.00561964e+00 1.05582646e+00 1.96223586e+00
 3.24141888e-01 6.21179010e-01 1.16272941e+00]"
2,Survival,0.3172579944578573,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Survival,0.5663517970556888,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Survival,0.4598337481710613,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Extinction,-0.6300877366714751,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Extinction,0.36572019863945016,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Extinction,0.1966931184824355,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
2,Extinction,-2.0988648347671717,"[4.67018580e+00 6.12830284e-23 4.04775504e-18 1.01092950e-10
 6.03281660e-33 3.81928017e-15 5.94549787e+00 1.47507476e-41
 5.97954571e-30 1.48698062e-02 4.79359648e-01 3.69954252e-01
 2.33755080e+00 2.19482087e+00 3.83152324e-01]"
